City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
536,quincy,42.2529,42.2529,24.52,82,40,4.63,US,1690433575
537,along,28.1667,28.1667,26.3,84,96,0.92,IN,1690433748
538,yatou,37.15,37.15,28.49,74,98,5.93,CN,1690433748
539,castillos,-34.1667,-34.1667,8.65,87,3,5.28,UY,1690433748
540,sao jose da coroa grande,-8.8978,-8.8978,23.49,85,62,2.1,BR,1690433573
541,arauquita,7.0292,7.0292,22.17,99,100,0.58,CO,1690433748
542,miles city,46.4083,46.4083,28.54,24,0,4.12,US,1690433632
543,mount pleasant,32.7941,32.7941,26.67,94,0,0.0,US,1690433469
544,los llanos de aridane,28.6585,28.6585,19.86,85,75,4.12,ES,1690433749
545,pirane,-25.7324,-25.7324,13.29,91,64,2.51,AR,1690433462
546,yeppoon,-23.1333,-23.1333,22.88,67,38,7.87,AU,1690433749
547,ubari,26.5921,26.5921,29.37,11,2,2.04,LY,1690433750
548,al ghayzah,16.2079,16.2079,26.38,81,69,4.21,YE,1690433750
549,san pedro pochutla,15.7333,15.7333,25.95,89,83,2.32,MX,1690433750
550,tralee,52.2704,52.2704,15.53,99,100,2.63,IE,1690433750
551,tromso,69.6496,69.6496,12.43,87,40,5.66,NO,1690433750
552,sassnitz,54.5167,54.5167,12.67,87,81,8.18,DE,1690433751
553,wewak,-3.5534,-3.5534,28.93,72,64,2.61,PG,1690433751
554,obo,5.3998,5.3998,19.74,99,100,1.93,CF,1690433751
555,hastings,50.8552,50.8552,17.29,52,100,11.14,GB,1690433682
556,amuntai,-2.4177,-2.4177,34.05,37,40,1.41,ID,1690433751
557,kuanda,56.3161,56.3161,28.73,43,63,0.84,RU,1690433752
558,cangzhou,38.3167,38.3167,35.27,42,36,2.17,CN,1690433752
559,sawankhalok,17.316,17.316,32.94,58,20,3.6,TH,1690433752
560,bardai,11.65,11.65,22.4,82,99,5.33,NG,1690433752
561,flin flon,54.7682,54.7682,10.67,95,100,4.96,CA,1690433753
562,zonguldak,41.25,41.25,17.47,72,0,3.9,TR,1690433753
563,cidreira,-30.1811,-30.1811,13.56,84,32,5.44,BR,1690433548
564,port-vila,-17.7338,-17.7338,22.78,64,75,8.75,VU,1690433753
565,lenoir,35.2335,35.2335,26.06,94,0,2.06,US,1690433754
566,itacare,-14.2775,-14.2775,20.79,87,47,3.72,BR,1690433540
567,jieshi,22.8134,22.8134,32.21,62,90,4.58,CN,1690433754
568,muborak,39.2553,39.2553,39.96,12,0,3.17,UZ,1690433754
569,isola di capo rizzuto,38.96,38.96,21.77,46,0,2.87,IT,1690433754
570,inhambane,-23.865,-23.865,15.99,93,20,0.0,MZ,1690433590
571,pacora,9.0833,9.0833,27.34,90,40,2.06,PA,1690433755
572,geiro,-6.15,-6.15,14.75,73,91,1.64,TZ,1690433755
573,onega,63.9061,63.9061,16.61,74,78,1.61,RU,1690433755
574,jakar,27.5492,27.5492,18.53,88,100,1.91,BT,1690433756
575,nakamura,32.9833,32.9833,32.53,54,51,2.32,JP,1690433756
